Billing Date,Route,Sold-to party
20-08-15,2802,813
20-08-15,2802,819
20-08-15,2802,822
20-08-15,2802,823
20-08-15,2802,825
20-08-15,2802,838
20-08-15,2802,18825
20-08-15,2802,18826
20-08-15,2802,18833
20-08-15,2802,18839
20-08-15,2803,773
20-08-15,2803,790
20-08-15,2803,803
20-08-15,2803,808
20-08-15,2803,811
20-08-15,2803,816
20-08-15,2803,820
20-08-15,2803,18832
20-08-15,2803,18850
20-08-15,2804,851
20-08-15,2804,852
20-08-15,2804,854
20-08-15,2804,858
20-08-15,2804,860
20-08-15,2804,870
20-08-15,2804,871
20-08-15,2804,889
20-08-15,2804,12893
20-08-15,2804,16866
20-08-15,2804,18878
20-08-15,2805,309
20-08-15,2805,311
20-08-15,2805,408
20-08-15,2805,409
20-08-15,2805,413
20-08-15,2805,424
20-08-15,2806,742
20-08-15,2806,791
20-08-15,2806,10708
20-08-15,2806,10724
20-08-15,2806,10784
20-08-15,2806,13735
20-08-15,2806,13741
20-08-15,2806,40701
20-08-15,2807,73
20-08-15,2807,82
20-08-15,2807,768
20-08-15,2807,1001
20-08-15,2807,18003
20-08-15,2807,18004
20-08-15,2808,702
20-08-15,2808,703
20-08-15,2808,708
20-08-15,2808,718
20-08-15,2808,759
20-08-15,2808,760
20-08-15,2809,714
20-08-15,2809,716
20-08-15,2809,757
20-08-15,2809,799
20-08-15,2809,13720
20-08-15,2810,705
20-08-15,2810,719
20-08-15,2810,745
20-08-15,2810,771
20-08-15,2810,1701
20-08-15,2811,21
20-08-15,2811,35
20-08-15,2811,44
20-08-15,2811,77
20-08-15,2811,92
20-08-15,2811,10010
20-08-15,2811,10023
20-08-15,2812,7
20-08-15,2812,17
20-08-15,2812,25
20-08-15,2812,26
20-08-15,2812,31
20-08-15,2812,52
20-08-15,2812,87
20-08-15,2812,727
20-08-15,2812,1008
20-08-15,2812,19007
20-08-15,2813,1
20-08-15,2813,3
20-08-15,2813,6
20-08-15,2813,34
20-08-15,2813,39
20-08-15,2813,53
20-08-15,2813,54
20-08-15,2813,93
20-08-15,2813,96
20-08-15,2814,42
20-08-15,2814,43
20-08-15,2814,63
20-08-15,2814,80
20-08-15,2814,81
20-08-15,2814,83
20-08-15,2814,10082
20-08-15,2814,10083
20-08-15,2815,958
20-08-15,2815,966
20-08-15,2815,967
20-08-15,2815,969
20-08-15,2815,970
20-08-15,2815,971
20-08-15,2815,974
20-08-15,2815,976
20-08-15,2815,980
20-08-15,2815,18007
20-08-15,2816,704
20-08-15,2816,717
20-08-15,2816,734
20-08-15,2816,765
20-08-15,2817,401
20-08-15,2817,405
20-08-15,2817,411
20-08-15,2817,412
20-08-15,2817,417
20-08-15,2818,709
20-08-15,2818,873
20-08-15,2818,874
20-08-15,2818,10765
20-08-15,2818,10766
20-08-15,2818,18794
20-08-15,2819,15
20-08-15,2819,46
20-08-15,2819,59
20-08-15,2819,94
20-08-15,2819,210
20-08-15,2819,240
20-08-15,2819,1006
20-08-15,2819,10033
20-08-15,2901,16808
20-08-15,2901,23815
20-08-15,2901,23822
20-08-15,2901,23824
20-08-15,2901,23829
20-08-15,2901,23842
20-08-15,2901,24794
20-08-15,2901,26805
20-08-15,2901,26807
20-08-15,2901,26844
20-08-15,2901,27807
20-08-15,2901,27846
20-08-15,2901,28801
20-08-15,2901,28814
20-08-15,2902,23803
20-08-15,2902,23812
20-08-15,2902,23817
20-08-15,2902,23843
20-08-15,2902,26822
20-08-15,2902,26832
20-08-15,2902,26843
20-08-15,2902,27801
20-08-15,2902,27803
20-08-15,2902,27826
20-08-15,2902,27836
20-08-15,2902,27837
20-08-15,2902,27850
20-08-15,2902,28804
20-08-15,2902,28815
20-08-15,2902,28819
20-08-15,2911,13719
20-08-15,2911,13739
20-08-15,2911,16723
20-08-15,2911,16749
20-08-15,2911,16753
20-08-15,2911,23781
20-08-15,2911,28719
20-08-15,2911,28736
20-08-15,2912,13744
20-08-15,2912,16748
20-08-15,2912,16755
20-08-15,2912,23789
20-08-15,2912,23791
20-08-15,2912,24752
20-08-15,2912,26704
20-08-15,2912,26759
20-08-15,2912,29777
20-08-15,2912,30749
20-08-15,2913,13742
20-08-15,2913,16729
20-08-15,2913,16731
20-08-15,2913,16783
20-08-15,2913,23734
20-08-15,2913,23747
20-08-15,2913,27739
20-08-15,2913,27794
20-08-15,2913,28792
20-08-15,2913,29787
20-08-15,2913,29794
20-08-15,2914,12854
20-08-15,2914,12862
20-08-15,2914,12874
20-08-15,2914,13753
20-08-15,2914,13754
20-08-15,2914,16715
20-08-15,2914,16841
20-08-15,2914,23704
20-08-15,2914,29797
20-08-15,2915,10701
20-08-15,2915,13758
20-08-15,2915,16772
20-08-15,2915,24732
20-08-15,2915,26767
20-08-15,2915,27756
20-08-15,2915,27782
20-08-15,2915,28702
20-08-15,2915,29708
20-08-15,2915,30770
